These results were downloaded and refreshed on October   22, 2019 at 12:26 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 22 octobre 2019 à 12h26 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
11003	Egmont	Egmont	preliminary	préliminaires	Clark		Alex	Green Party	Parti Vert	3747	19.7	0	19058
11003	Egmont	Egmont	preliminary	préliminaires	Dunn		Sharon	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1182	6.2	0	19058
11003	Egmont	Egmont	preliminary	préliminaires	McLellan		Logan	Conservative	Conservateur	6616	34.7	0	19058
11003	Egmont	Egmont	preliminary	préliminaires	Morrissey		Bobby	Liberal	Libéral	7513	39.4	0	19058
11004	Malpeque	Malpeque	preliminary	préliminaires	Easter		Wayne	Liberal	Libéral	9533	41.4	0	23030
11004	Malpeque	Malpeque	preliminary	préliminaires	Keenan		Anna	Green Party	Parti Vert	6103	26.5	0	23030
11004	Malpeque	Malpeque	preliminary	préliminaires	Nash		Craig	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1495	6.5	0	23030
11004	Malpeque	Malpeque	preliminary	préliminaires	Stewart		Stephen	Conservative	Conservateur	5899	25.6	0	23030
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Dockrill		Michelle	Independent	Indépendant(e)	671	1.6	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Doucet		Clive	Green Party	Parti Vert	3246	7.8	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Joyce		Billy	People's Party	Parti populaire	968	2.3	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Kelloway		Mike	Liberal	Libéral	16097	38.5	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	LeBlanc		Darlene Lynn	National Citizens Alliance	Alliance Nationale Citoyens	139	.3	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	MacLeod		Alfie	Conservative	Conservateur	14478	34.6	0	41857
12001	Cape Breton--Canso	Cape Breton--Canso	preliminary	préliminaires	Suitor		Laurie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6258	15	0	41857
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Canyon		George	Conservative	Conservateur	13201	29.6	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Fraser		Sean	Liberal	Libéral	20718	46.5	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Frazer		Chris	Communist	Communiste	179	.4	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	MacDonald		Betsy	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5896	13.2	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Muir		Al	People's Party	Parti populaire	938	2.1	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Randle		Barry	Green Party	Parti Vert	3478	7.8	0	44559
12002	Central Nova	Nova-Centre	preliminary	préliminaires	Slowik		Michael	Independent	Indépendant(e)	149	.3	0	44559
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Archer		William	People's Party	Parti populaire	608	1.3	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Armstrong		Scott	Conservative	Conservateur	16219	35.7	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Blanch		Jason	Green Party	Parti Vert	6015	13.2	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Duchesne		Larry	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5451	12	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Garvey		Stephen J	National Citizens Alliance	Alliance Nationale Citoyens	109	.2	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	O'Blenis		Jody	VCP	CAC	144	.3	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Rushton		Matthew V.	Independent	Indépendant(e)	232	.5	0	45450
12003	Cumberland--Colchester	Cumberland--Colchester	preliminary	préliminaires	Zann		Lenore	Liberal	Libéral	16672	36.7	0	45450
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Cole		Jason	Conservative	Conservateur	8480	16.1	0	52585
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Fisher		Darren	Liberal	Libéral	23751	45.2	0	52585
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Lindsay		Michelle	People's Party	Parti populaire	937	1.8	0	52585
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	MacPherson		Lil	Green Party	Parti Vert	5197	9.9	0	52585
12004	Dartmouth--Cole Harbour	Dartmouth--Cole Harbour	preliminary	préliminaires	Norton		Emma	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	14220	27	0	52585
12005	Halifax	Halifax	preliminary	préliminaires	Fillmore		Andy	Liberal	Libéral	23088	42.4	0	54489
12005	Halifax	Halifax	preliminary	préliminaires	Holland		Bruce	Conservative	Conservateur	6214	11.4	0	54489
12005	Halifax	Halifax	preliminary	préliminaires	McGenn		Duncan	People's Party	Parti populaire	605	1.1	0	54489
12005	Halifax	Halifax	preliminary	préliminaires	Roberts		Jo-Ann	Green Party	Parti Vert	7762	14.2	0	54489
12005	Halifax	Halifax	preliminary	préliminaires	Saulnier		Christine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	16594	30.5	0	54489
12005	Halifax	Halifax	preliminary	préliminaires	Wilson		Bill	Animal Protection Party	Parti Protection Animaux	226	.4	0	54489
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Regan		Geoff	Liberal	Libéral	26884	49.5	0	54356
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Shuman		Fred	Conservative	Conservateur	10488	19.3	0	54356
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Wilson		Jacob	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	10429	19.2	0	54356
12006	Halifax West	Halifax-Ouest	preliminary	préliminaires	Zurawski		Richard	Green Party	Parti Vert	6555	12.1	0	54356
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Anderson		Brogan	Green Party	Parti Vert	6029	12.6	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Blois		Kody	Liberal	Libéral	20807	43.3	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Dodge		Stacey	VCP	CAC	118	.2	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	MacQuarrie		Martha	Conservative	Conservateur	11905	24.8	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Schneider		Stephen	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8243	17.2	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Southall		Matthew	People's Party	Parti populaire	786	1.6	0	48035
12007	Kings--Hants	Kings--Hants	preliminary	préliminaires	Tan		Nicholas	Parti Rhinocéros Party	Parti Rhinocéros Party	147	.3	0	48035
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Copley		Kevin	Conservative	Conservateur	11224	22.6	0	49563
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Edmonds		Anthony	Green Party	Parti Vert	5743	11.6	0	49563
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Hogg		Sybil	People's Party	Parti populaire	819	1.7	0	49563
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Samson		Darrell	Liberal	Libéral	19920	40.2	0	49563
12008	Sackville--Preston--Chezzetcook	Sackville--Preston--Chezzetcook	preliminary	préliminaires	Stickland		Matt	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	11857	23.9	0	49563
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Foster		Steven	Independent	Indépendant(e)	379	.7	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Hepburn		Jessika	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8361	15.9	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Jordan		Bernadette	Liberal	Libéral	21887	41.7	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Matthews		Jason	VCP	CAC	126	.2	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	McMahon		Shawn	Independent	Indépendant(e)	165	.3	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Monk		Robert	People's Party	Parti populaire	665	1.3	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Perkins		Rick	Conservative	Conservateur	14744	28.1	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Schulthies		Kevin	Christian Heritage Party	Parti de l'Héritage Chrétien	124	.2	0	52521
12009	South Shore--St. Margarets	South Shore--St. Margarets	preliminary	préliminaires	Trappenberg		Thomas	Green Party	Parti Vert	6070	11.6	0	52521
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Battiste		Jaime	Liberal	Libéral	12536	30.9	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Foster		Lois	Green Party	Parti Vert	2249	5.5	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Joy		Randy	VCP	CAC	254	.6	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	MacKinnon		Archie	Independent	Indépendant(e)	5679	14	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	MacNeil		Kenzie	Independent	Indépendant(e)	480	1.2	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	McDavid		Jodi	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8150	20.1	0	40576
12010	Sydney--Victoria	Sydney--Victoria	preliminary	préliminaires	Orrell		Eddie	Conservative	Conservateur	11228	27.7	0	40576
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Cook		Gloria Jane	VCP	CAC	453	1	0	46846
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Deveau		Jason	Liberal	Libéral	17034	36.4	0	46846
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Dubois		Matthew	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5020	10.7	0	46846
12011	West Nova	Nova-Ouest	preliminary	préliminaires	Green		Judy N	Green Party	Parti Vert	5949	12.7	0	46846
12011	West Nova	Nova-Ouest	preliminary	préliminaires	d'Entremont		Chris	Conservative	Conservateur	18390	39.3	0	46846
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Cormier		Serge	Liberal	Libéral	26519	55.1	0	48097
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Kryszko		Robert	Green Party	Parti Vert	4271	8.9	0	48097
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Savoie		Martine	Conservative	Conservateur	10344	21.5	0	48097
13001	Acadie--Bathurst	Acadie--Bathurst	preliminary	préliminaires	Thériault		Daniel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6963	14.5	0	48097
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Bélanger		Jean-Marc	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3937	7.3	0	53630
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Cormier		Vincent	Conservative	Conservateur	9435	17.6	0	53630
13002	Beauséjour	Beauséjour	preliminary	préliminaires	LeBlanc		Dominic	Liberal	Libéral	24957	46.5	0	53630
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Mercier		Nancy	People's Party	Parti populaire	1050	2	0	53630
13002	Beauséjour	Beauséjour	preliminary	préliminaires	Reinsborough		Laura	Green Party	Parti Vert	14251	26.6	0	53630
13003	Fredericton	Fredericton	preliminary	préliminaires	Atwin		Jenica	Green Party	Parti Vert	15380	32.8	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	DeCourcey		Matt	Liberal	Libéral	12803	27.3	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Johnson		Andrea	Conservative	Conservateur	14589	31.1	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Kirby		Brandon	Libertarian	Libertarien	123	.3	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Patterson		Jacob	Communist	Communiste	76	.2	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Paull		Jason	People's Party	Parti populaire	767	1.6	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Thomas		Lesley	Animal Protection Party	Parti Protection Animaux	277	.6	0	46841
13003	Fredericton	Fredericton	preliminary	préliminaires	Thomason		Mackenzie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2826	6	0	46841
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Amos		David Raymond	Independent	Indépendant(e)	291	.6	0	47192
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Evans		John	National Citizens Alliance	Alliance Nationale Citoyens	200	.4	0	47192
13004	Fundy Royal	Fundy Royal	preliminary	préliminaires	Lockhart		Alaina	Liberal	Libéral	12015	25.5	0	47192
