These results were downloaded and refreshed on October   22, 2019 at 12:26 p.m. ET. / Ces résultats ont été téléchargés et rafraichis le 22 octobre 2019 à 12h26 HE.													
Electoral district number - Numéro de la circonscription	Electoral district name	Nom de la circonscription	Type of results*	Type de résultats**	Surname - Nom de famille	Middle name(s) - Autre(s) prénom(s)	Given name - Prénom	Political affiliation	Appartenance politique	Votes obtained - Votes obtenus	% Votes obtained - Votes obtenus %	Rejected ballots - Bulletins rejetés***	Total number of ballots cast - Nombre total de votes déposés
24025	Drummond	Drummond	preliminary	préliminaires	Batrhino		Réal	Parti Rhinocéros Party	Parti Rhinocéros Party	265	.5	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Bernier		Frédérik	Green Party	Parti Vert	1827	3.4	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Champoux		Martin	Bloc Québécois	Bloc Québécois	24237	44.6	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Choquette		François	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8632	15.9	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Ebacher		Jessica	Conservative	Conservateur	9082	16.7	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Morales		William	Liberal	Libéral	9495	17.5	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Munger		Lucas	Animal Protection Party	Parti Protection Animaux	245	.5	0	54315
24025	Drummond	Drummond	preliminary	préliminaires	Paquet		Steeve	People's Party	Parti populaire	532	1	0	54315
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Beaulieu		Lynn	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1722	4.5	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Bernatchez		Guy	Bloc Québécois	Bloc Québécois	15659	40.8	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Cowboy		Jay	Parti Rhinocéros Party	Parti Rhinocéros Party	353	.9	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Drainville		Dennis	Green Party	Parti Vert	1130	2.9	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Hébert		Eric	People's Party	Parti populaire	198	.5	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Lebouthillier		Diane	Liberal	Libéral	16296	42.5	0	38380
24026	Gaspésie--Les Îles-de-la-Madeleine	Gaspésie--Les Îles-de-la-Madeleine	preliminary	préliminaires	Pigeon		Jean-Pierre	Conservative	Conservateur	3022	7.9	0	38380
24027	Gatineau	Gatineau	preliminary	préliminaires	Chaurette		Eric	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	6004	10.9	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	Dostaler		Guy	Green Party	Parti Vert	2196	4	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	Goneau		Sylvie	Conservative	Conservateur	5664	10.3	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	Lam		Mario-Roberto	People's Party	Parti populaire	550	1	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	MacKinnon		Steven	Liberal	Libéral	28827	52.2	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	Nadeau		Geneviève	Bloc Québécois	Bloc Québécois	11858	21.5	0	55174
24027	Gatineau	Gatineau	preliminary	préliminaires	Soublière		Pierre	ML	ML	75	.1	0	55174
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Balatsko		Stepan	People's Party	Parti populaire	381	.7	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Blais-Leduc		Chinook	Parti Rhinocéros Party	Parti Rhinocéros Party	301	.6	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Dandenault		Christine	ML	ML	105	.2	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Fortin		JP	Communist	Communiste	101	.2	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Marchand		Simon	Bloc Québécois	Bloc Québécois	17460	33.5	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Marcoux		Christine	Conservative	Conservateur	2343	4.5	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Martinez Ferrada		Soraya	Liberal	Libéral	17779	34.1	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Morais		Robert D.	Green Party	Parti Vert	2523	4.8	0	52162
24028	Hochelaga	Hochelaga	preliminary	préliminaires	Roy-Goyette		Catheryn	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	11169	21.4	0	52162
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Binette		Jacques	Bloc Québécois	Bloc Québécois	9908	19.8	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Croteau		Guy	Conservative	Conservateur	4781	9.6	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Cusmano		Domenico	Green Party	Parti Vert	1349	2.7	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Le Seigle		Yves	ML	ML	71	.1	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Pham		Chu Anh	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4058	8.1	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	Rodriguez		Pablo	Liberal	Libéral	29336	58.7	0	49959
24029	Honoré-Mercier	Honoré-Mercier	preliminary	préliminaires	St-Onge		Patrick	People's Party	Parti populaire	456	.9	0	49959
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Deschênes		Alexandre	ML	ML	196	.4	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Duggan		Mike	Conservative	Conservateur	4781	9	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Fergus		Greg	Liberal	Libéral	28466	53.8	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Grenier		Sébastien	Parti Rhinocéros Party	Parti Rhinocéros Party	191	.4	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Poirier Defoy		Josée	Green Party	Parti Vert	3603	6.8	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Riopel		Joanie	Bloc Québécois	Bloc Québécois	7931	15	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Tanguay		Rowen	People's Party	Parti populaire	622	1.2	0	52924
24030	Hull--Aylmer	Hull--Aylmer	preliminary	préliminaires	Thibodeau		Nicolas	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7134	13.5	0	52924
24031	Joliette	Joliette	preliminary	préliminaires	Bourgeois		Michel	Liberal	Libéral	12718	22.2	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Masse		Jean-Martin	Conservative	Conservateur	5154	9	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Poirier		Érica	Green Party	Parti Vert	2289	4	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Prescott		Sylvain	People's Party	Parti populaire	494	.9	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Savard		Paul	Pour l'Indépendance du Québec	Pour l'Indépendance du Québec	472	.8	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Soumaoro		Julienne	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2567	4.5	0	57186
24031	Joliette	Joliette	preliminary	préliminaires	Ste-Marie		Gabriel	Bloc Québécois	Bloc Québécois	33492	58.6	0	57186
24032	Jonquière	Jonquière	preliminary	préliminaires	Bourdages		Lyne	Green Party	Parti Vert	972	2	0	48863
24032	Jonquière	Jonquière	preliminary	préliminaires	Gagnon		Philippe	Conservative	Conservateur	10199	20.9	0	48863
24032	Jonquière	Jonquière	preliminary	préliminaires	Garneau		Vincent	Liberal	Libéral	7819	16	0	48863
24032	Jonquière	Jonquière	preliminary	préliminaires	Simard		Mario	Bloc Québécois	Bloc Québécois	17422	35.7	0	48863
24032	Jonquière	Jonquière	preliminary	préliminaires	Théodore		Sylvie	People's Party	Parti populaire	516	1.1	0	48863
24032	Jonquière	Jonquière	preliminary	préliminaires	Trudel		Karine	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	11935	24.4	0	48863
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Beaulieu		Mario	Bloc Québécois	Bloc Québécois	25832	47.1	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Coutu		Robert	Conservative	Conservateur	3946	7.2	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Fiori		Franco	Green Party	Parti Vert	1825	3.3	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Lafrenaye		Jacinthe	Pour l'Indépendance du Québec	Pour l'Indépendance du Québec	195	.4	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Manseau		Randy	People's Party	Parti populaire	382	.7	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Plamondon		Jonathan	Liberal	Libéral	16703	30.4	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Péclet		Ève	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5929	10.8	0	54899
24033	La Pointe-de-l'Île	La Pointe-de-l'Île	preliminary	préliminaires	Royer		Geneviève	ML	ML	87	.2	0	54899
24034	La Prairie	La Prairie	preliminary	préliminaires	Chouinard		Normand	ML	ML	101	.2	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Hernandez		Victoria	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4845	7.9	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Joannette		Barbara	Green Party	Parti Vert	2523	4.1	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Lapointe		Isabelle	Conservative	Conservateur	5491	9	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Poissant		Jean-Claude	Liberal	Libéral	22342	36.4	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Therrien		Alain	Bloc Québécois	Bloc Québécois	25612	41.8	0	61306
24034	La Prairie	La Prairie	preliminary	préliminaires	Yablunovsky		Gregory	People's Party	Parti populaire	392	.6	0	61306
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Boudreault		Danny	People's Party	Parti populaire	442	.8	0	53971
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Brunelle-Duceppe		Alexis	Bloc Québécois	Bloc Québécois	23746	44	0	53971
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Fortin		Jean-Simon	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	2656	4.9	0	53971
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Fradette		Jocelyn	Conservative	Conservateur	12508	23.2	0	53971
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Gagnon-Bond		Julie	Green Party	Parti Vert	998	1.8	0	53971
24035	Lac-Saint-Jean	Lac-Saint-Jean	preliminary	préliminaires	Hébert		Richard	Liberal	Libéral	13621	25.2	0	53971
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Benoît		Julie	Bloc Québécois	Bloc Québécois	3151	5.4	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Charles		Gary	People's Party	Parti populaire	796	1.4	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Chevalier		Dana	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	7104	12.2	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Coelho		Ralston	Nationalist	Nationaliste	30	.1	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Francis		Ann	Conservative	Conservateur	8948	15.3	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Kona-Mancini		Milan	Green Party	Parti Vert	4073	7	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	Scarpaleggia		Francis	Liberal	Libéral	33845	58	0	58320
24036	Lac-Saint-Louis	Lac-Saint-Louis	preliminary	préliminaires	de Martigny		Victoria	Animal Protection Party	Parti Protection Animaux	373	.6	0	58320
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Bélanger		Rhino Jacques	Parti Rhinocéros Party	Parti Rhinocéros Party	261	.5	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Côté		Julien	Independent	Indépendant(e)	272	.5	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Dion		Isabel	Bloc Québécois	Bloc Québécois	12537	24.3	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Lametti		David	Liberal	Libéral	22504	43.6	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Mercier		Jency	Green Party	Parti Vert	3452	6.7	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Rocchi		Claudio	Conservative	Conservateur	3664	7.1	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Scott		Steven	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	8423	16.3	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Studd		Eileen	ML	ML	38	.1	0	51632
24037	LaSalle--Émard--Verdun	LaSalle--Émard--Verdun	preliminary	préliminaires	Turgeon		Daniel	People's Party	Parti populaire	481	.9	0	51632
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Chantrel		Gaël	Green Party	Parti Vert	3105	4.8	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Dufour		Claude	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4041	6.2	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Evanko		Richard	People's Party	Parti populaire	413	.6	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Gaudreau		Marie-Hélène	Bloc Québécois	Bloc Québécois	30525	47	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Graham		David	Liberal	Libéral	21514	33.1	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Grégoire		Serge	Conservative	Conservateur	4972	7.6	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Leclerc		Michel	Independent	Indépendant(e)	174	.3	0	65009
24038	Laurentides--Labelle	Laurentides--Labelle	preliminary	préliminaires	Schneider		Ludovic	Parti Rhinocéros Party	Parti Rhinocéros Party	265	.4	0	65009
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Azzaoui		Jamil	Green Party	Parti Vert	3072	5.9	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Bui		Christine	People's Party	Parti populaire	316	.6	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Duchesne		Michel	Bloc Québécois	Bloc Québécois	11996	23.2	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Guilbeault		Steven	Liberal	Libéral	21551	41.6	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Lachapelle		Serge	ML	ML	94	.2	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Machouf		Nimâ	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	12994	25.1	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Morals		Archie	Parti Rhinocéros Party	Parti Rhinocéros Party	203	.4	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Mourkes		Dimitri	Independent	Indépendant(e)	41	.1	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	Welsh		Adrien	Communist	Communiste	64	.1	0	51801
24039	Laurier--Sainte-Marie	Laurier--Sainte-Marie	preliminary	préliminaires	des Greniers		Lise	Conservative	Conservateur	1470	2.8	0	51801
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Beauchamp		Marie-Louise	People's Party	Parti populaire	861	1.7	0	52119
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Beddad		Nacera	Bloc Québécois	Bloc Québécois	10820	20.8	0	52119
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	EL-Khoury		Fayçal	Liberal	Libéral	24927	47.8	0	52119
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Madi		Sari	Green Party	Parti Vert	2223	4.3	0	52119
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Onofre De Lima		Noémia	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4667	9	0	52119
24040	Laval--Les Îles	Laval--Les Îles	preliminary	préliminaires	Pentefountas		Tom	Conservative	Conservateur	8621	16.5	0	52119
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Cousineau		Henri	People's Party	Parti populaire	542	1.1	0	49527
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Dhatsenpa		Kalden	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5033	10.2	0	49527
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Lepage		Cathy	Bloc Québécois	Bloc Québécois	18111	36.6	0	49527
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Poitras		Casandra	Green Party	Parti Vert	2811	5.7	0	49527
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Robichaud		Stéphane	Conservative	Conservateur	3663	7.4	0	49527
24041	Longueuil--Charles-LeMoyne	Longueuil--Charles-LeMoyne	preliminary	préliminaires	Romanado		Sherry	Liberal	Libéral	19367	39.1	0	49527
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Brault		François-Noël	Bloc Québécois	Bloc Québécois	15873	25.1	0	63159
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Daigle		Ghislain	Liberal	Libéral	10666	16.9	0	63159
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Fontaine		Marc	People's Party	Parti populaire	2242	3.5	0	63159
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Gourde		Jacques	Conservative	Conservateur	28218	44.7	0	63159
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Kerr		Patrick	Green Party	Parti Vert	1861	2.9	0	63159
24042	Lévis--Lotbinière	Lévis--Lotbinière	preliminary	préliminaires	Marchand		Christel	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4299	6.8	0	63159
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Clune		Patrick	Conservative	Conservateur	3727	6.3	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Comeau		Ellen	People's Party	Parti populaire	463	.8	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Ferland		Éric	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4997	8.4	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Filion		Pierre-Luc	Independent	Indépendant(e)	241	.4	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Hébert		Réjean	Liberal	Libéral	20271	34.2	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Nantel		Pierre	Green Party	Parti Vert	6603	11.1	0	59239
24043	Longueuil--Saint-Hubert	Longueuil--Saint-Hubert	preliminary	préliminaires	Trudel		Denis	Bloc Québécois	Bloc Québécois	22937	38.7	0	59239
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Brisson		Daniel	People's Party	Parti populaire	1008	1.6	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Dahan		Ali	Independent	Indépendant(e)	264	.4	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Diab		Macarena	Green Party	Parti Vert	2407	3.9	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Guérette		Marie-Josée	Conservative	Conservateur	10830	17.6	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Hébert		Christian	Bloc Québécois	Bloc Québécois	17262	28.1	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Juneau		Jérémie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4793	7.8	0	61474
24044	Louis-Hébert	Louis-Hébert	preliminary	préliminaires	Lightbound		Joël	Liberal	Libéral	24910	40.5	0	61474
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Amram Ducharme		Colette	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4281	6.6	0	64767
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Cusson		Jean-Christophe	Liberal	Libéral	13509	20.9	0	64767
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Côté		Guillaume	People's Party	Parti populaire	1542	2.4	0	64767
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Deltell		Gérard	Conservative	Conservateur	28735	44.4	0	64767
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Desgagnés		Jeanne-Paule	Bloc Québécois	Bloc Québécois	14577	22.5	0	64767
24045	Louis-Saint-Laurent	Louis-Saint-Laurent	preliminary	préliminaires	Riedo		Sandra Mara	Green Party	Parti Vert	2123	3.3	0	64767
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Corriveau		François	Conservative	Conservateur	7718	19.3	0	39906
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Côté		Gabriel	People's Party	Parti populaire	285	.7	0	39906
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Gill		Marilène	Bloc Québécois	Bloc Québécois	21553	54	0	39906
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Gélineau		Jacques	Green Party	Parti Vert	1250	3.1	0	39906
24046	Manicouagan	Manicouagan	preliminary	préliminaires	McCool		Colleen	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1434	3.6	0	39906
24046	Manicouagan	Manicouagan	preliminary	préliminaires	Savard		Dave	Liberal	Libéral	7666	19.2	0	39906
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Berthold		Luc	Conservative	Conservateur	23046	49.4	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Boisvert		Mathieu	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	1910	4.1	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Charette		Nicole	Green Party	Parti Vert	1210	2.6	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Corbeil		Priscilla	Bloc Québécois	Bloc Québécois	11997	25.7	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Grégoire		Isabelle	Liberal	Libéral	7201	15.4	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Lauzier		Marie  Claude	People's Party	Parti populaire	800	1.7	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Paradis		Jean	Independent	Indépendant(e)	214	.5	0	46628
24047	Mégantic--L'Érable	Mégantic--L'Érable	preliminary	préliminaires	Roy		Damien	Parti Rhinocéros Party	Parti Rhinocéros Party	250	.5	0	46628
24048	Mirabel	Mirabel	preliminary	préliminaires	Biacchi		Pietro	Pour l'Indépendance du Québec	Pour l'Indépendance du Québec	319	.5	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Desrochers		François	Conservative	Conservateur	5741	9.2	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Marcil		Simon	Bloc Québécois	Bloc Québécois	32045	51.1	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Montpetit		Christian	People's Party	Parti populaire	620	1	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Saint-Germain		Anne-Marie	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	5068	8.1	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Tremblay		Julie	Green Party	Parti Vert	3368	5.4	0	62708
24048	Mirabel	Mirabel	preliminary	préliminaires	Trudel		Karl	Liberal	Libéral	15547	24.8	0	62708
24049	Montarville	Montarville	preliminary	préliminaires	Bergeron		Stéphane	Bloc Québécois	Bloc Québécois	25249	43.1	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Lavallée		Julie	People's Party	Parti populaire	498	.8	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Pelland		Jean-Charles	Green Party	Parti Vert	2886	4.9	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Picard		Michel	Liberal	Libéral	20877	35.6	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Sauvageau		Julie	Conservative	Conservateur	4108	7	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Sellah		Djaouida	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	4803	8.2	0	58629
24049	Montarville	Montarville	preliminary	préliminaires	Thibault-Vincent		Thomas	Parti Rhinocéros Party	Parti Rhinocéros Party	208	.4	0	58629
24050	Montcalm	Montcalm	preliminary	préliminaires	Bonello-Stauch		Julian	NDP-New Democratic Party	NPD-Nouveau Parti démocratique	3466	6.4	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Clénin		Hugo	People's Party	Parti populaire	520	1	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Desroches		Gisèle	Conservative	Conservateur	4923	9	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Goyette		Mathieu	Green Party	Parti Vert	2391	4.4	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Labelle		Marc	Pour l'Indépendance du Québec	Pour l'Indépendance du Québec	417	.8	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Sayegh		Isabel	Liberal	Libéral	11113	20.4	0	54529
24050	Montcalm	Montcalm	preliminary	préliminaires	Thériault		Luc	Bloc Québécois	Bloc Québécois	31699	58.1	0	54529
24051	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	Montmagny--L'Islet--Kamouraska--Rivière-du-Loup	preliminary	préliminaires	Ducharme		Denis	Green Party	Parti Vert	1001	2	0	50000
